dispensary_slug,sku,batch_id,name,name_raw,brand,category,variant,price_cents,thc_percent,cbd_percent,classification,in_stock,product_url,image_url,scraped_at
brooklyn-organic-buds,1455,,Mint Kush,Old Pal - Mint Kush - 2pk - Pre Roll,Old Pal,preroll,1g,1062,,,indica,FALSE,https://brooklynorganicbuds.com/store/product/old-pal-old-pal-mint-kush-2pk-pre-roll,https://d1qjybsjlbmhj3.cloudfront.net/1774822604938-698048313-OP_NY-2pack_Indica_Pre-roll_Purple-Sherbet-d8ac8944-c1c1-40ba-b1cb-97af0e7f9a03.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1380,,Oreoz,Old Pal - Oreoz - Pre-Roll Pack - 1g - 2pk,Old Pal,preroll,1g,1062,,,indica,FALSE,https://brooklynorganicbuds.com/store/product/old-pal-old-pal-oreoz-pre-roll-pack-1g-2pk,https://d1qjybsjlbmhj3.cloudfront.net/1770212266888-412845988-OP_NY-2pack_Indica_Pre-roll_Purple-Sherbet-d8ac8944-c1c1-40ba-b1cb-97af0e7f9a03.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1457,,Ready to Roll | Hybrid | Lemon Haze,Old Pal - Ready to Roll - 14g - Hybrid - Lemon Haze,Old Pal,flower,14g,5310,,,hybrid,FALSE,https://brooklynorganicbuds.com/store/product/old-pal-old-pal-ready-to-roll-14g-hybrid-lemon-haze,https://d1qjybsjlbmhj3.cloudfront.net/1774877142308-837245361-6229fc943aa88983_056e3dc9-897e-4fe8-b455-065be6339b72.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1461,1A4120300000641000144090,Ready to Roll | Hybrid | Lemon Haze | Ground Flower,Old Pal - Ready to Roll - 14g - Hybrid - Lemon Haze - Ground Flower,Old Pal,flower,14g,5752,,,hybrid,TRUE,https://brooklynorganicbuds.com/store/product/old-pal-old-pal-ready-to-roll-14g-hybrid-lemon-haze-ground-flower,https://d1qjybsjlbmhj3.cloudfront.net/1775658676341-215945399-6229fc943aa88983_056e3dc9-897e-4fe8-b455-065be6339b72.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1378,,Sour Mimosa | (Ready to Roll),Old Pal - Sour Mimosa - Premium Flower (Ready to Roll) - 14g,Old Pal,flower,14g,5752,,,sativa,FALSE,https://brooklynorganicbuds.com/store/product/old-pal-old-pal-sour-mimosa-premium-flower-ready-to-roll-14g,https://d1qjybsjlbmhj3.cloudfront.net/1770143615258-391323949-145c714690909516_1769020551884-427504690-b0df0004-6819-46e7-bb7e-9162bb5021c9.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1285,1A4120300000C1E000006541,Sativa,Operator - Sativa - Single Pre-roll - 1g,Operator,preroll,1g,1062,,,sativa,TRUE,https://brooklynorganicbuds.com/store/product/operator-operator-sativa-single-pre-roll-1g,https://d1qjybsjlbmhj3.cloudfront.net/1770212449983-101939574-image--67--a61c73c1-b43f-4cdf-94e0-7483f5e88ab1.avif,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1284,,Front Toward Enemy,Operator Front Toward Enemy - Pre-roll Pack - 2.5g - 5ct,Operator,preroll,2.5g,3097,,,sativa,FALSE,https://brooklynorganicbuds.com/store/product/operator-operator-front-toward-enemy-pre-roll-pack-2-5g-5ct,https://d1qjybsjlbmhj3.cloudfront.net/1770212558510-767118164-1443520e48cbdf04763a2590be6d6868.webp,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1164,,Pandalorian | Live Rosin Gummies | Poison Apple,Pandalorian - Live Rosin Gummies - Poison Apple,Off Hours,edible,100mg,3097,,,not applicable,FALSE,https://brooklynorganicbuds.com/store/product/off-hours-pandalorian-live-rosin-gummies-poison-apple,https://d1qjybsjlbmhj3.cloudfront.net/1761163063727-744653914-nowave%20-%20poison%20apple%20%28real%29.webp,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1432,1A4120300000641000150982,Blue Haze | Live Rosin | W/Diamonds | Pod,Pax - Blue Haze - Live Rosin - W/Diamonds - 1G - Pod,Pax,vaporizers,1g,8083,,,hybrid,TRUE,https://brooklynorganicbuds.com/store/product/pax-pax-blue-haze-live-rosin-wdiamonds-1g-pod,https://d1qjybsjlbmhj3.cloudfront.net/1774015963976-129055877-69b435bace838e49a267b888_Blue-Haze-1g.webp,2026-05-03T16:21:56.721305+00:00
brooklyn-organic-buds,1434,,Blueberry Haze | High Purity | THC | Pod,Pax - Blueberry Haze - High Purity - THC - 1G - Pod,Pax,vaporizers,1g,5052,,,sativa,FALSE,https://brooklynorganicbuds.com/store/product/pax-pax-blueberry-haze-high-purity-thc-1g-pod,https://d1qjybsjlbmhj3.cloudfront.net/1774018104374-481592726-4010157_High_Purity_-_Blueberry_Haze_-_1g_Packaging.avif,2026-05-03T16:21:56.721305+00:00
